ID,country,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,political_scale,birthyear,age,religiousity,sex,marital_status,employment
702070487,SGP,1,1,1,3,8,9,7,7,1977,43,Not a religious person,Female,Married,Full time
702070488,SGP,2,2,2,2,4,4,3,-1,1997,23,A religious person,Male,Single,Part time
702070489,SGP,1,2,2,1,8,5,5,5,1979,41,Not a religious person,Female,Married,Full time
702070490,SGP,1,2,1,1,7,8,8,5,1972,48,Not a religious person,Female,Married,Full time
702070491,SGP,1,2,2,2,7,7,10,6,1950,69,An atheist,Male,Married,Retired/pensioned
702070492,SGP,1,2,2,2,7,7,7,7,1993,26,Not a religious person,Female,Single,Student
702070493,SGP,1,1,2,1,8,8,8,5,1967,52,A religious person,Male,Married,Self employed
702070494,SGP,1,3,4,1,7,7,7,5,1959,61,A religious person,Male,Married,Unemployed
702070495,SGP,1,2,1,1,8,9,8,5,1968,52,Not a religious person,Male,Divorced,Full time
702070496,SGP,1,1,1,1,7,7,7,6,1986,34,A religious person,Male,Married,Full time
702070497,SGP,1,1,2,2,8,7,7,6,1989,31,Not a religious person,Female,Married,Homemaker
702070498,SGP,1,1,2,4,7,7,7,6,1948,72,Not a religious person,Female,Married,Homemaker
702070499,SGP,2,2,3,3,7,7,7,4,1977,43,Not a religious person,Female,Single,Full time
702070500,SGP,1,2,3,4,7,7,7,6,1941,79,A religious person,Female,Widowed,Homemaker
702070501,SGP,1,3,1,3,5,8,8,7,1961,58,A religious person,Female,Married,Homemaker
702070502,SGP,1,2,2,2,7,7,7,5,1987,32,A religious person,Male,Single,Self employed
702070503,SGP,1,1,2,1,7,7,7,7,1980,39,A religious person,Male,Single,Part time
702070504,SGP,1,2,2,2,10,8,7,5,1994,25,Not a religious person,Male,Married,Full time
702070505,SGP,1,3,4,2,8,7,7,5,1971,48,Not a religious person,Male,Married,Full time
702070506,SGP,1,2,2,1,7,7,7,6,1956,64,A religious person,Male,Married,Full time
702070507,SGP,1,1,1,1,9,9,9,5,1956,63,A religious person,Female,Married,Retired/pensioned
702070508,SGP,1,1,1,2,6,8,8,5,1953,66,A religious person,Female,Single,Part time
702070509,SGP,1,2,2,3,10,7,8,6,1955,64,A religious person,Female,Married,Homemaker
